TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
00AI,14556,29272C10,2014-10-16,2023-08-15,1
00AI,14556,29272C20,2023-08-17,2023-12-29,1
00AO,14983,94419L10,2014-10-16,2023-12-29,1
00AP,15113,76131D10,2014-12-18,2023-12-29,2
00AW,14708,82664010,2014-10-16,2016-11-06,1
00AW,14708,82664020,2016-11-17,2017-02-13,1
00AW,14708,60463E10,2017-02-16,2020-11-12,1
00AW,14708,60463E20,2020-11-19,2021-01-19,1
00AW,14708,92790C10,2021-02-18,2023-12-29,1
00B1,14937,88907J10,2014-10-16,2017-05-10,1
00B1,14937,67011N10,2017-05-18,2020-10-04,1
00B1,14937,67011N20,2020-10-15,2021-01-04,1
00B1,14937,28617K10,2021-01-14,2023-12-29,1
00B4,,,2014-10-16,2016-01-14,6
00BG,14928,M2682V10,2014-11-20,2023-12-29,1
00BV,14945,00030710,2014-11-20,2019-10-25,1
00BV,,,2019-11-14,2021-12-31,6
00BW,14995,13089P10,2014-11-20,2022-06-14,1
00BW,14995,13089P50,2022-06-16,2023-02-01,1
00BX,14961,30255X10,2014-11-20,2015-07-19,1
00BX,14961,30555Q10,2015-08-20,2018-05-31,1
00BY,15003,24983L10,2014-11-20,2020-02-19,1
00C5,14915,83190B10,2014-11-20,2019-06-19,1
00C6,14939,49338L10,2014-11-20,2023-12-29,1
00C9,15014,23833710,2014-11-20,2023-12-29,1
00CB,14956,25745410,2014-11-20,2019-01-25,1
00CC,14942,49428J10,2014-11-20,2023-12-29,1
00CL,15059,19249H10,2014-11-20,2023-12-29,1
00CN,,,2014-11-20,,6
00D3,14960,29357K10,2014-11-20,2023-12-29,1
00D4,14974,64869110,2014-11-20,2021-09-20,1
00DA,15008,31679P10,2014-12-18,2017-11-03,1
00DB,14953,09940610,2014-12-18,2023-12-29,1
00DD,15083,85711T30,2014-12-18,2017-11-17,1
00DJ,15029,13057Q10,2014-12-18,2016-05-31,1
00DJ,15029,13057Q20,2016-06-16,2020-07-15,1
00DJ,,,2020-08-20,2021-10-13,6
00DJ,20188,13057Q30,2021-10-14,2023-12-29,1
00DL,15031,03673L10,2014-12-18,2019-03-12,1
00DV,15140,51508J10,2014-12-18,2021-12-21,1
00DX,14990,03283P10,2014-12-18,2016-04-29,1
00DZ,13746,72202D10,2014-12-18,2021-10-14,1
00E0,15055,Y6213410,2014-12-18,2018-12-13,1
00EB,15052,86212110,2014-12-18,2023-02-02,1
00EC,,,2014-12-18,2016-09-14,6
00EC,16629,12718M30,2017-03-10,2017-04-09,1
00EC,16629,25381F10,2017-04-20,2017-08-16,1
00ED,,,2014-12-18,2019-04-17,6
00ED,20647,45784A10,2021-03-04,2021-04-14,5
00EF,,,2014-12-18,2018-12-31,6
00EG,15092,52603A10,2014-12-18,2019-07-07,1
00EG,15092,52603A20,2019-07-18,2023-12-29,1
00EH,,,2014-12-18,,6
00EI,15060,N2094710,2014-12-18,2017-03-02,1
00EJ,,,2014-12-18,2018-12-31,6
00EX,15028,04410410,2015-01-15,2023-12-29,1
00EY,15134,48205A10,2015-01-15,2018-03-05,1
00FF,15133,G5005R10,2015-01-15,2023-12-29,1
00FR,15116,76281910,2015-01-15,2018-07-20,1
00GC,15105,59116R10,2015-02-19,2017-04-05,1
00GG,14173,47117210,2015-02-19,2020-01-13,1
00GG,,,2020-07-16,2020-12-31,6
00HK,15180,22190710,2015-02-19,2021-12-03,1
00HM,15164,70338T10,2015-02-19,2017-11-22,1
00HM,,,2017-12-14,2018-12-31,6
00I0,15145,10316T10,2015-02-19,2023-12-29,1
00I2,15169,B3856412,2015-02-19,2015-04-27,1
00I2,15169,B3856410,2015-05-14,2023-12-29,1
00I7,15181,G7234P10,2015-03-19,2019-04-24,1
00I7,,,2019-05-16,2021-12-31,6
00I9,15171,04351P10,2015-03-19,2023-12-29,1
00IE,15220,45781D10,2015-03-19,2021-11-23,1
00II,14950,04624N10,2015-03-19,2019-03-07,1
00JA,15196,38983D30,2015-03-19,2023-12-29,1
00JB,14166,62945V10,2015-03-19,2023-12-29,1
00JC,15221,45780V10,2015-03-19,2018-01-04,1
00JC,15221,77313F10,2018-01-18,2023-12-29,1
00JH,13658,98395070,2015-03-19,2018-08-13,2
00JU,15274,86627R10,2015-04-16,2020-09-18,1
00JU,19849,86627T10,2020-10-15,2023-12-29,1
00KV,15264,86614U10,2015-04-16,2023-12-29,1
00L4,15270,63546L10,2015-04-16,2019-03-29,1
00LB,15242,35352P10,2015-05-14,2020-08-14,1
00LK,,,2015-05-14,2017-07-12,6
00LU,15268,M2361E11,2015-05-14,2018-04-03,1
00LU,15268,M2361E20,2019-03-14,2022-11-24,1
00LU,15268,M2361E17,2022-12-15,2023-12-29,1
00LV,15170,Y4671710,2015-05-14,2019-01-09,1
00MH,15278,69924M10,2015-05-14,2023-12-29,1
00MJ,15188,04929Q10,2015-05-14,2016-03-18,1
00NO,15339,09214X10,2015-06-18,2017-09-29,1
00NO,16917,09215C10,2017-10-19,2023-09-01,1
00O7,15370,19716T10,2015-06-18,2017-02-28,1
00O8,15378,00212010,2015-06-18,2019-06-30,1
00O8,15378,00212020,2019-07-18,2023-12-29,1
00O9,15371,19459J10,2015-06-18,2023-12-29,1
00OE,15137,89620X50,2015-06-18,2021-11-16,3
00OG,14433,52748T10,2015-06-18,2015-06-30,1
00OG,14433,24549610,2015-07-16,2022-03-07,1
00ON,15336,33767E10,2015-06-18,2019-05-13,2
00ON,15336,33767E20,2019-05-14,2023-12-29,2
00PK,15390,33812L10,2015-06-18,2021-01-13,1
00PM,16070,92840H20,2016-05-11,2023-06-06,1
00PM,16070,92840H40,2023-06-15,2023-12-29,1
00PP,15344,21873010,2015-07-16,2019-10-28,1
00Q6,15398,16385110,2015-07-16,2023-12-29,1
00Q7,15396,05614L10,2015-07-16,2019-07-23,1
00Q7,15396,05614L20,2019-08-15,2023-12-29,1
00QF,15451,29272U10,2015-07-16,2016-11-21,1
00QG,15358,82509L10,2015-07-16,2023-12-29,1
00QU,15391,36473H10,2015-07-16,2019-11-19,1
00QV,15397,89055F10,2015-07-16,2023-12-29,1
00QZ,15400,29272W10,2015-07-16,2023-12-29,1
00R2,15399,44052W10,2015-07-16,2021-03-11,1
00R6,15440,97415510,2015-07-16,2023-12-29,1
00RA,,,2015-07-16,2015-09-16,6
00RA,15662,85238720,2015-09-29,2018-01-03,1
00RA,15662,85238730,2018-01-18,2021-06-30,1
00RA,15662,85238740,2021-07-15,2022-06-23,1
00RA,15662,85238750,2022-07-14,2023-12-29,1
00RC,13827,98887G10,2015-07-16,2018-03-19,1
00RJ,15432,65481J10,2015-07-16,2017-07-24,1
00RJ,15432,02083G10,2017-08-17,2023-12-29,1
00RK,15418,20651910,2015-07-16,2016-06-29,2
00RK,15418,20653P10,2016-06-30,2018-06-07,5
00RK,,,2018-06-14,2021-12-31,6
00RL,15430,60255W10,2015-07-16,2019-02-14,1
00RO,14128,15146110,2015-07-16,2019-11-30,1
00RU,15062,81362J10,2015-08-20,2020-01-05,1
00RU,15062,81362J20,2020-01-16,2022-08-18,1
00RU,15062,92854B10,2022-09-15,2023-12-29,1
00RX,15416,14875P10,2015-08-20,2018-12-30,1
00RX,15416,14875P20,2019-01-17,2021-08-19,1
00RX,15416,04635X10,2021-09-16,2023-12-29,1
00RZ,15409,01164210,2015-08-20,2023-12-29,1
00S8,15590,90915J10,2015-08-20,2023-11-08,1
00S9,15478,89400J10,2015-08-20,2023-12-29,1
00SG,15324,65500B10,2015-08-20,2019-09-03,2
00SZ,15466,59870L10,2015-08-20,2019-11-20,1
00T2,15541,75342210,2015-08-20,2023-12-29,1
00TA,14675,87876P20,2015-08-20,2020-06-18,1
00TC,15531,64052L10,2015-08-20,2021-03-19,1
00TI,15533,63016Q10,2015-09-17,2021-03-09,1
00TI,15533,45256X10,2021-03-18,2023-12-29,1
00TR,15523,88104M10,2015-09-17,2017-12-28,1
00TU,15630,00900T10,2015-09-17,2020-10-12,1
00TY,15514,31985Q10,2015-09-17,2017-06-30,1
00U5,15642,M5364410,2015-09-17,2020-10-29,1
00U5,15642,M5364414,2020-11-19,2021-07-26,1
00U5,15642,45339J10,2021-08-19,2023-12-29,2
00UB,15623,44159310,2015-09-17,2023-12-29,1
00UC,15638,37890U10,2015-09-17,2022-10-04,1
00UW,,,2015-10-15,2016-09-30,6
00UX,15647,78469X10,2015-10-15,2022-04-04,1
00V4,15532,62913F50,2015-10-15,2019-12-31,1
00V5,15724,71377A10,2015-10-15,2023-12-29,1
00VC,15694,70975L10,2015-10-15,2023-12-29,1
00VL,15586,88650V20,2015-11-19,2019-06-14,1
00VP,15703,32008D10,2015-11-19,2019-07-26,1
00VQ,15735,N3167J10,2015-11-19,2016-01-03,1
00VQ,15735,N3167Y10,2016-01-14,2023-12-29,1
00VV,,,2015-11-19,2018-06-13,6
00VV,19413,01309110,2020-06-26,2023-12-29,1
00VY,15774,01748H10,2015-11-19,2022-09-30,1
00VZ,15775,00461U10,2015-11-19,2023-12-29,1
00W1,15793,12634H10,2015-11-19,2017-12-19,1
00W1,15793,12634H20,2018-01-18,2023-12-29,1
00W3,15708,66706L10,2015-11-19,2019-09-27,1
00WB,15710,30227H10,2015-11-19,2022-10-12,1
00WB,,,2022-10-20,,6
00WF,15711,02589Y10,2015-11-19,2017-02-01,1
00WW,14045,53521910,2015-12-17,2023-12-29,1
00WY,15850,57665R10,2015-12-17,2020-06-30,1
00WY,15850,57667L10,2020-07-16,2023-12-29,1
00XB,15824,45781U10,2015-12-17,2020-03-23,1
00XO,15858,98415E30,2015-12-17,2016-10-14,1
00XO,,,2016-11-17,2018-09-30,6
00XR,15831,05464T10,2015-12-17,2023-12-29,1
00YE,15859,05351W10,2016-01-14,2023-12-29,1
00YO,15577,48205B10,2016-01-14,2018-03-13,1
00YT,15909,G0624210,2016-01-14,2022-10-02,1
00YT,15909,04946810,2022-10-20,2023-12-29,1
00Z6,15948,65406E10,2016-02-24,2023-12-29,1
010U,15921,56356810,2016-03-17,2017-03-05,1
010U,15921,94909010,2017-03-16,2022-07-28,1
010V,15950,74373B10,2016-03-17,2020-12-22,1
010V,15950,98872L10,2021-01-14,2022-12-18,1
010V,15950,49461C10,2023-01-19,2023-12-29,1
011Y,15960,22101510,2016-05-19,2023-12-29,1
0124,15584,81752R10,2016-05-19,2023-09-14,1
012B,15853,74967R10,2016-05-19,2023-12-29,1
012D,17402,05491G10,2016-05-19,2017-02-28,1
012R,16024,02922710,2016-05-19,2021-01-25,1
0133,16019,75700L10,2016-06-16,2023-12-29,1
013E,16082,82982L10,2016-06-16,2023-12-29,1
013S,15178,33583410,2016-06-16,2023-12-29,1
013T,16063,59774210,2016-06-16,2023-12-29,1
013U,16077,40054A10,2016-06-16,2023-12-29,1
013Z,16073,22164K10,2016-07-14,2018-08-24,1
014G,16100,63010410,2016-07-14,2022-12-15,1
014G,16100,63010430,2023-01-19,2023-05-23,1
014G,,,2023-06-15,,6
014N,91575,42704L10,2016-07-14,2023-12-29,1
0153,16120,16954L10,2016-07-14,2022-12-14,1
0153,16120,16954L20,2022-12-15,2023-12-29,1
015B,16106,69911U40,2016-07-14,2018-01-26,1
015F,15411,02314M10,2016-07-14,2017-07-31,2
015F,15411,85570W10,2017-08-17,2020-05-04,2
015G,16140,90138F10,2016-08-18,2023-12-29,1
016T,15292,14141X10,2016-08-18,2017-07-05,1
016U,16182,45320410,2016-08-18,2023-12-29,1
016W,16162,05070R10,2016-08-18,2020-01-14,1
017N,16268,04650Y10,2016-09-15,2021-07-22,1
017Q,16255,36870A10,2016-09-15,2019-12-30,1
017Q,16255,64132R10,2020-01-16,2022-09-12,1
017Q,16255,64132R20,2022-09-15,2023-12-20,1
017Z,16263,74366E10,2016-09-15,2023-12-29,1
0180,16260,58506Q10,2016-09-15,2023-12-29,1
0186,16647,91914N20,2017-03-23,2019-05-19,1
0186,16647,91914N30,2019-06-20,2020-02-19,1
018W,16285,14070T10,2016-10-20,2023-12-29,1
019B,16304,67059N10,2016-10-20,2023-12-29,1
019G,16303,66988N10,2016-10-20,2021-05-25,1
019G,16303,66988N20,2021-06-17,2023-07-25,1
019G,,,2023-08-17,,6
019I,16318,26856L10,2016-10-20,2023-12-29,1
019L,16282,03835C10,2016-10-20,2019-01-09,1
019M,16319,30257X10,2016-10-20,2023-12-29,1
019Y,16332,58409L30,2016-11-17,2019-05-16,1
01A0,16339,G0772R20,2016-11-17,2023-12-29,1
01A6,16277,25787G10,2016-11-17,2023-12-29,1
01A9,16382,22266L10,2016-11-17,2023-02-27,1
01AB,16342,G0084W10,2016-11-17,2023-12-29,1
01AC,16434,00509810,2016-11-17,2023-12-29,1
01AF,16347,01387210,2016-11-17,2023-12-29,1
01AR,16348,16965P10,2016-11-17,2018-11-01,1
01AR,16348,16965P20,2018-11-15,2023-03-28,1
01BH,16461,36165L10,2016-12-15,2023-12-29,1
01BP,16471,83191H10,2016-12-15,2023-12-29,1
01CQ,14829,86777J10,2016-12-15,2017-12-29,1
01D7,16099,60855D10,2017-01-19,2021-01-31,1
01D7,16099,60855D20,2021-02-18,2023-12-29,1
01DR,16496,G0684D10,2017-01-19,2021-12-31,1
01E5,18224,21241B10,2018-11-09,2021-02-03,1
01E5,18224,02076410,2021-02-18,2023-12-29,1
01EC,16534,88675R10,2017-01-19,2018-07-25,1
01EE,16454,Y4105310,2017-01-19,2023-12-29,1
01FC,16553,47009K10,2017-02-16,2020-01-09,1
01FE,16557,48669A10,2017-02-16,2019-10-30,1
01FE,16557,65290C10,2019-11-14,2023-08-31,1
01FQ,16595,83304A10,2017-03-16,2023-12-29,1
01G1,16592,75134P30,2017-03-16,2023-06-21,1
01G1,16592,75134P60,2023-07-20,2023-12-29,1
01GF,16602,12674R10,2017-03-16,2019-10-30,1
01GW,16641,N7054410,2017-04-20,2023-12-29,1
01H2,16341,34955310,2017-04-20,2023-12-29,2
01HJ,16624,L0223L10,2017-04-20,2021-10-05,1
01HP,16617,74347M10,2017-04-20,2023-12-29,1
01HR,16626,G1083010,2017-04-20,2023-12-29,1
01IF,16653,93627C10,2017-04-20,2023-12-29,1
01IN,16676,69324R10,2017-05-18,2022-12-30,1
01J8,16669,G6455X10,2017-05-18,2019-06-14,1
01JE,16654,12739A10,2017-05-18,2021-10-28,1
01KJ,16657,18914U10,2017-06-15,2021-10-07,1
01KN,16668,98985W10,2017-06-15,2022-10-12,1
01KN,16668,98985Y10,2022-10-20,2023-12-29,1
01KO,16738,03675Y10,2017-06-15,2019-03-12,1
01KO,16738,03676B10,2019-03-14,2023-12-29,1
01LF,16603,13508610,2017-06-15,2023-12-29,2
01LJ,16750,83418M10,2017-06-15,2023-12-29,1
01LL,16712,92347M10,2017-06-15,2023-12-29,1
01LR,16699,04016X10,2017-06-15,2023-12-29,1
01LS,16700,00215L10,2017-06-15,2019-09-11,1
01LW,16696,14575E10,2017-06-15,2023-12-29,1
01M9,16737,78413P10,2017-06-15,2023-12-29,1
01MD,16545,03063L70,2017-07-20,2019-09-11,2
01MD,16545,03062D10,2019-09-12,2023-12-29,2
01MI,16698,03782L10,2017-07-20,2023-12-29,1
01MJ,16710,G8232Y10,2017-07-20,2023-12-29,1
01NA,16805,82536T10,2017-07-20,2023-12-29,1
01NX,16755,09523Q10,2017-07-20,2019-06-16,1
01NX,16755,09523Q20,2019-06-20,2023-06-07,1
01NX,16755,09523Q30,2023-06-15,2023-11-10,1
01O6,16770,78649D10,2017-07-20,2019-02-24,1
01O6,16770,78645L10,2019-03-14,2023-03-30,1
01OH,16776,00887A10,2017-08-17,2022-11-10,1
01OH,16776,00887A20,2022-11-17,2023-12-29,1
01PI,16784,29667J10,2017-08-17,2023-12-29,1
01Q3,16818,13173L10,2017-08-17,2023-04-24,1
01Q3,16818,13173L20,2023-05-18,2023-05-31,1
01Q3,16818,17166A10,2023-06-15,2023-12-29,1
01QJ,16828,74930B10,2017-09-14,2023-12-29,1
01RT,16403,39032010,2017-10-19,2022-02-27,1
01RT,16403,39032070,2022-03-17,2023-12-29,1
01S6,15505,20082810,2017-10-19,2018-01-01,1
01S6,15505,75956B10,2018-01-18,2021-12-31,1
01SC,16765,62857J10,2017-10-19,2020-01-30,1
01SC,16765,62857J20,2020-02-20,2023-12-29,1
01ST,16940,08653C10,2017-10-19,2022-05-19,1
01ST,16940,08653C50,2022-06-16,2023-04-03,1
01ST,16940,08653C60,2023-04-20,2023-12-29,1
01T2,15970,77738510,2017-10-19,2020-07-31,1
01T2,,,2020-08-20,2023-12-31,6
01T5,16933,81367P10,2017-11-16,2021-12-31,1
01T6,16923,15102K10,2017-11-16,2023-12-29,1
01TA,16968,60937P10,2017-11-16,2023-12-29,1
01TD,16930,65413A10,2017-11-16,2019-06-06,1
01TF,16928,50114710,2017-11-16,2023-12-29,1
01TT,16989,68752L10,2017-11-16,2023-12-29,1
01TV,16967,14178810,2017-11-16,2023-12-29,1
01TW,16992,68404V10,2017-11-16,2023-12-29,1
01UC,17023,81141R10,2017-11-16,2023-12-29,1
01UZ,16971,63845R10,2017-12-14,2023-12-29,1
01VE,15293,65342K10,2017-12-14,2023-12-29,1
01VQ,17034,02136910,2017-12-14,2023-12-29,1
01VT,17045,00108J10,2017-12-14,2023-12-29,1
01W2,17115,N4482110,2017-12-14,2023-12-29,1
01W3,17104,03753U10,2017-12-14,2023-12-29,1
01W4,16163,G3402M10,2017-12-14,2020-06-01,1
01W7,17117,58958P10,2017-12-14,2023-12-29,1
01W8,17050,21988010,2017-12-14,2018-12-19,1
01WG,17037,78781P10,2017-12-14,2022-08-15,1
01X0,16903,62818Q10,2018-01-18,2023-04-03,1
01X0,16903,62818Q20,2023-04-20,2023-12-29,1
01X8,17113,42829510,2018-01-18,2020-08-23,1
01X8,17113,42829520,2020-09-17,2020-12-30,1
01X8,17113,98422P10,2021-01-14,2021-03-31,1
01XB,17125,24823R10,2018-01-18,2023-12-29,1
01XD,17155,74766Q10,2018-01-18,2023-12-29,1
01XF,17148,55055010,2018-01-18,2023-12-29,1
01XJ,75844,67077M10,2018-01-18,2023-12-29,2
01XP,17135,14713L10,2018-01-18,2023-12-29,1
01Y5,16844,82639W10,2018-01-18,2022-11-14,2
01Y5,,,2022-11-17,,6
01YF,15782,97137512,2018-01-18,2020-07-01,1
01YF,15782,97137810,2020-07-16,2023-12-29,1
01Z4,17221,53115L10,2018-01-18,2023-12-29,1
01Z7,17146,45113Y10,2018-01-18,2022-11-13,1
01Z7,17146,45113Y20,2022-11-17,2023-12-29,1
01ZA,17251,65441V10,2018-02-15,2023-12-29,1
01ZB,17223,00090Q10,2018-02-15,2023-12-29,1
01ZK,17252,72814N10,2018-03-15,2023-12-29,1
01ZN,17272,76133L10,2018-03-15,2020-09-15,1
01ZN,17272,00700210,2020-09-17,2023-12-29,1
01ZY,17322,46263D10,2018-03-15,2019-08-13,1
01ZY,,,2019-08-15,2022-12-31,6
0200,17281,12720310,2018-03-15,2023-12-29,1
0201,17332,92645B10,2018-03-15,2023-12-29,1
0208,16677,02133L10,2018-03-15,2019-09-23,1
0208,,,2019-10-17,2021-12-31,6
020E,17157,G8947910,2018-04-19,2023-12-29,1
020K,17782,L8681T10,2018-04-19,2023-12-29,1
020U,17287,19626A10,2018-04-19,2018-06-24,1
020U,17287,19625T10,2018-07-19,2021-06-24,1
020U,17287,10949T10,2021-07-15,2023-12-29,1
0226,17380,86740P10,2018-04-19,2021-08-30,1
0226,17380,86740P20,2021-09-16,2023-08-18,1
0228,17362,46267X10,2018-05-17,2023-12-29,1
022C,17379,68276W10,2018-05-17,2022-01-23,1
022C,17379,68276W40,2022-02-17,2023-09-14,1
022J,17127,G3206V10,2018-05-17,2020-01-31,1
022J,,,2020-02-20,2020-12-31,6
022K,17683,19764110,2018-05-17,2023-12-29,1
022T,17673,72582H10,2018-05-17,2019-12-27,1
022U,17692,52730D20,2018-05-17,2022-03-31,1
022V,17286,15503820,2018-05-17,2023-12-29,1
0234,17672,38431350,2018-06-14,2023-12-29,1
0237,17691,65487K10,2018-06-14,2023-12-29,1
023A,17685,25616310,2018-06-14,2023-12-29,1
023B,17100,84651710,2018-06-14,2023-09-07,1
023B,,,2023-09-14,,6
023R,17801,21044C10,2018-06-14,2023-12-29,1
023S,17799,45773010,2018-06-14,2023-12-29,1
023T,17836,71425410,2018-06-14,2023-12-29,1
023V,26607,08986R30,2018-06-14,2023-08-23,1
0249,17794,98311A10,2018-06-14,2023-12-29,1
024B,17792,71534710,2018-06-14,2021-05-06,1
024S,17788,72941B10,2018-06-14,2021-04-05,1
025V,17884,Y2889510,2018-07-19,2023-12-29,1
